Titulo;Categoria;Precio;Nombre autor;Fecha edicion;Cant Paginas
El misterio del faro;Misterio;15.99;Ana García;2023-08-12;320
La herencia perdida;Aventura;12.50;Juan Martínez;2022-11-05;270
Secretos en París;Romance;9.99;María López;2024-02-20;400
El último reino;Fantasía;18.75;Carlos Ruiz;2023-06-10;380
Aprendiendo a volar;Autoayuda;14.25;Elena Sánchez;2024-01-15;280
Cocina del mundo;Cocina;20.00;Pedro Gómez;2022-09-30;240
El código perdido;Ciencia ficción;16.50;Sofía Pérez;2023-04-18;350
En busca del tesoro;Aventura;11.99;Luisa Fernández;2024-03-22;300
La casa del lago;Misterio;13.75;Javier Rodríguez;2022-06-08;310
Flores en primavera;Romance;8.50;Ana Martín;2024-05-10;360
